id;firstname;lastname;joiningdate;externalexpyears;externalexpmonths;createdat;updatedat;type;isactive
1;Intelligent;XSS Grocery Rustic;2023-03-09T05:21:20;21066;45621;2023-03-08T18:11:10;2023-03-09T02:06:39;bandwidth;true
2;sensor Health;Soft Islands;2023-03-09T11:12:58;18969;94275;2023-03-08T23:19:58;2023-03-09T11:04:42;Tuna;false
3;Directives;initiatives Visionary;2023-03-09T07:30:57;31585;60540;2023-03-09T17:25:20;2023-03-09T15:06:27;withdrawal;false
4;B2C Yen;Quetzal;2023-03-09T14:34:43;31797;57597;2023-03-09T06:42:43;2023-03-08T20:42:21;National;true
5;end-to-end Bike Falkland;invoice;2023-03-09T08:57:51;84749;57460;2023-03-08T18:42:53;2023-03-09T10:05:35;Unit Director;false
6;maximize Oval e-business;matrix Plains Colombia;2023-03-09T14:13:47;53943;30491;2023-03-09T07:22:21;2023-03-09T16:20:35;Cotton initiat;true
7;systems vortals;Creative;2023-03-08T23:56:12;88032;46198;2023-03-09T13:41:24;2023-03-08T20:59:30;invoice Kids;true
8;transform;Planner transmitter tangible;2023-03-08T20:07:49;13993;32643;2023-03-09T11:10:34;2023-03-08T19:16:35;front-end;false
9;Refined data-warehouse Corporate;best-of-breed intermediate invoice;2023-03-08T22:05:10;27407;81558;2023-03-09T08:50:30;2023-03-09T07:09:10;Awesome;true
10;Pants Coordinator;Paradigm;2023-03-09T00:51:10;48952;73316;2023-03-09T01:07:58;2023-03-09T07:07:41;deposit;false
