id;email;created_at;updated_at;deleted_at;version;notification_template_id;recipient_id
1;Minerva.Gerlach25@gmail.com;2023-03-09T15:28:18;2023-03-08T18:51:50;2023-03-08T22:52:16;71934;1;1
2;Eudora62@yahoo.com;2023-03-08T23:42:14;2023-03-08T19:25:20;2023-03-09T14:46:16;18784;2;2
3;Amparo12@yahoo.com;2023-03-09T06:53:44;2023-03-09T12:40:39;2023-03-09T08:41:48;75317;3;3
4;Halle.Lubowitz87@gmail.com;2023-03-09T08:44:49;2023-03-09T14:35:13;2023-03-09T05:47:54;69025;4;4
5;Milford91@hotmail.com;2023-03-08T20:13:16;2023-03-09T06:51:51;2023-03-09T06:22:00;16639;5;5
6;Helene.Rempel70@yahoo.com;2023-03-08T20:47:26;2023-03-09T04:14:59;2023-03-09T15:39:34;66327;6;6
7;Giovanni44@gmail.com;2023-03-08T18:42:52;2023-03-09T13:11:47;2023-03-09T12:23:26;42785;7;7
8;Pattie.Daugherty@gmail.com;2023-03-09T02:30:13;2023-03-08T21:17:50;2023-03-09T11:35:02;48927;8;8
9;Winifred.Dare95@hotmail.com;2023-03-08T22:58:05;2023-03-09T14:36:27;2023-03-09T12:58:01;58011;9;9
10;Jeanie.McCullough@hotmail.com;2023-03-08T22:35:33;2023-03-09T17:21:30;2023-03-08T19:48:10;63736;10;10
